instance_name,index_of_system,number_of_subsystems,method_name,used_time,initial_node_count,node_count,remained_node,time_limit,best_solution_value,best_solution
rrap_ns5_nh2_m2_g0.5_seed1,1,5,BB,0.00769736,32,451,0,0,0.927963,"1	0	1	0	1	2	2	0	0	1	"
rrap_ns5_nh2_m2_g0.5_seed2,1,5,BB,0.0015587,32,99,0,0,0.884346,"1	1	0	2	1	0	1	0	1	0"
rrap_ns5_nh2_m2_g0.5_seed3,1,5,BB,0.00193051,32,151,0,0,0.891097,"1	0	0	2	3	0	0	1	0	1	"
rrap_ns5_nh2_m2_g0.5_seed4,1,5,BB,0.0023679,32,162,0,0,0.921159,"0	2	1	0	0	2	0	2	0	1"
rrap_ns5_nh3_m2_g0.5_seed1,1,5,BB,0.0317833,243,1494,0,0,0.909245,"2	0	0	2	0	0	0	0	1	0	0	1	0	1	0	"
rrap_ns5_nh3_m2_g0.5_seed2,1,5,BB,0.12854,243,5486,0,0,0.965817,"0	0	1	0	0	1	2	1	0	1	2	0	0	0	1	"
rrap_ns5_nh3_m2_g0.5_seed3,1,5,BB,0.0357896,243,1611,0,0,0.936983,"0	0	1	1	0	0	3	0	0	0	0	2	0	0	1	"
rrap_ns5_nh3_m2_g0.5_seed4,1,5,BB,0.00358348,243,412,0,0,0.829835,"3	0	0	0	1	0	0	1	0	0	1	0	0	0	1	"
rrap_ns5_nh4_m2_g0.5_seed1,1,5,BB,0.0583361,1024,2979,0,0,0.918972,"0	2	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	"
rrap_ns5_nh4_m2_g0.5_seed2,1,5,BB,0.00826692,1024,1113,0,0,0.837946,"1	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	"
rrap_ns5_nh4_m2_g0.5_seed3,1,5,BB,0.794399,1024,27838,0,0,0.96006,"0	0	0	3	0	0	0	3	0	1	0	0	0	0	0	1	0	1	0	0	"
rrap_ns5_nh4_m2_g0.5_seed4,1,5,BB,0.416174,1024,14999,0,0,0.94592,"1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	2	0	1	0	0	"
rrap_ns5_nh5_m2_g0.5_seed1,1,5,BB,0.0727931,3125,4855,0,0,0.906058,"0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	"
rrap_ns5_nh5_m2_g0.5_seed2,1,5,BB,0.182441,3125,8093,0,0,0.927575,"1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	"
rrap_ns5_nh5_m2_g0.5_seed3,1,5,BB,3.04247,3125,90027,0,0,0.95735,"0	2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	"
rrap_ns5_nh5_m2_g0.5_seed4,1,5,BB,4.43911,3125,123399,0,0,0.971323,"0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	1	"
rrap_ns5_nh6_m2_g0.5_seed1,1,5,BB,0.485538,7776,19392,0,0,0.927603,"0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	"
rrap_ns5_nh6_m2_g0.5_seed2,1,5,BB,7.4387,7776,219646,0,0,0.953894,"0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	"
rrap_ns5_nh6_m2_g0.5_seed3,1,5,BB,2.56607,7776,70250,0,0,0.946576,"0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	1	0	0	0	"
rrap_ns5_nh6_m2_g0.5_seed4,1,5,BB,0.263141,7776,13156,0,0,0.931253,"0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	"
rrap_ns5_nh2_m2_g0.5_seed1,2,5,BB,0.00776435,32,449,0,0,0.956654,"1	0	1	1	0	1	1	1	0	2	"
rrap_ns5_nh2_m2_g0.5_seed2,2,5,BB,0.0017342,32,87,0,0,0.914283,"0	1	0	2	0	1	1	0	1	1	"
rrap_ns5_nh2_m2_g0.5_seed3,2,5,BB,0.00206823,32,165,0,0,0.926851,"1	0	0	2	1	0	0	1	0	2	"
rrap_ns5_nh2_m2_g0.5_seed4,2,5,BB,0.0039826,32,206,0,0,0.944727,"0	1	1	0	0	1	0	2	2	1	"
rrap_ns5_nh3_m2_g0.5_seed1,2,5,BB,0.0320797,243,1570,0,0,0.935495,"1	0	0	3	0	0	0	0	1	0	0	2	0	0	1	"
rrap_ns5_nh3_m2_g0.5_seed2,2,5,BB,0.156473,243,7075,0,0,0.974831,"0	0	1	1	0	0	1	0	0	2	0	1	0	0	3	"
rrap_ns5_nh3_m2_g0.5_seed3,2,5,BB,0.0300652,243,1414,0,0,0.958668,"0	0	1	1	0	0	2	0	0	3	0	0	0	0	1	"
rrap_ns5_nh3_m2_g0.5_seed4,2,5,BB,0.00281452,243,292,0,0,0.890577,"1	0	0	0	0	1	1	0	0	0	2	0	0	0	1	"
rrap_ns5_nh4_m2_g0.5_seed1,2,5,BB,0.0561568,1024,2762,0,0,0.944428,"0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	"
rrap_ns5_nh4_m2_g0.5_seed2,2,5,BB,0.00510042,1024,1054,0,0,0.896741,"0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	"
rrap_ns5_nh4_m2_g0.5_seed3,2,5,BB,0.972185,1024,37339,0,0,0.974202,"0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	3	0	0	"
rrap_ns5_nh4_m2_g0.5_seed4,2,5,BB,0.423974,1024,16528,0,0,0.965963,"1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	2	0	1	0	0	"
rrap_ns5_nh5_m2_g0.5_seed1,2,5,BB,0.0595549,3125,4193,0,0,0.939595,"0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	"
rrap_ns5_nh5_m2_g0.5_seed2,2,5,BB,0.161459,3125,7223,0,0,0.952806,"1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	"
rrap_ns5_nh5_m2_g0.5_seed3,2,5,BB,3.26354,3125,103998,0,0,0.97542,"0	2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	"
rrap_ns5_nh5_m2_g0.5_seed4,2,5,BB,4.80975,3125,149005,0,0,0.982434,"0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	"
rrap_ns5_nh6_m2_g0.5_seed1,2,5,BB,0.430078,7776,17238,0,0,0.955611,"0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	"
rrap_ns5_nh6_m2_g0.5_seed2,2,5,BB,7.2449,7776,240410,0,0,0.976731,"0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	"
rrap_ns5_nh6_m2_g0.5_seed3,2,5,BB,2.21121,7776,60877,0,0,0.970798,"0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	1	0	0	0	"
rrap_ns5_nh6_m2_g0.5_seed4,2,5,BB,0.23553,7776,12305,0,0,0.95211,"0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	"
rrap_ns6_nh2_m2_g0.5_seed1,3,6,BB,0.0191287,64,737,0,0,0.953767,"0	1	1	0	2	0	0	1	3	0	1	0	"
rrap_ns6_nh2_m2_g0.5_seed2,3,6,BB,0.0903338,64,3507,0,0,0.987052,"1	0	0	1	2	0	0	2	3	1	0	1	"
rrap_ns6_nh2_m2_g0.5_seed3,3,6,BB,0.0478612,64,1997,0,0,0.97534,"1	0	0	1	2	0	0	1	3	1	0	1	"
rrap_ns6_nh2_m2_g0.5_seed4,3,6,BB,0.084064,64,3515,0,0,0.975196,"2	0	2	1	1	0	0	2	0	2	0	1	"
rrap_ns6_nh3_m2_g0.5_seed1,3,6,BB,0.142915,729,5395,0,0,0.956506,"0	2	0	0	3	0	0	1	0	1	0	0	1	0	0	1	0	0	"
rrap_ns6_nh3_m2_g0.5_seed2,3,6,BB,0.358564,729,12188,0,0,0.973718,"1	0	1	0	3	0	1	0	0	0	1	0	2	0	0	0	1	0	"
rrap_ns6_nh3_m2_g0.5_seed3,3,6,BB,2.30951,729,78013,0,0,0.984123,"3	0	0	0	0	3	0	0	1	1	0	0	0	2	0	0	0	1	"
rrap_ns6_nh3_m2_g0.5_seed4,3,6,BB,0.112027,729,4376,0,0,0.935434,"1	0	0	0	1	0	1	0	0	1	0	1	0	2	0	0	1	0	"
rrap_ns6_nh4_m2_g0.5_seed1,3,6,BB,3.22993,4096,93690,0,0,0.970197,"2	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	"
rrap_ns6_nh4_m2_g0.5_seed2,3,6,BB,0.193321,4096,8631,0,0,0.939943,"0	2	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	"
rrap_ns6_nh4_m2_g0.5_seed3,3,6,BB,0.0373297,4096,4435,0,0,0.924475,"0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	"
rrap_ns6_nh4_m2_g0.5_seed4,3,6,BB,9.67439,4096,324193,0,0,0.97932,"0	0	0	1	0	0	1	0	0	0	1	0	0	3	0	0	0	0	3	0	0	0	0	1	"
rrap_ns6_nh5_m2_g0.5_seed1,3,6,BB,14.2088,15625,417634,0,0,0.982614,"0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	4	0	0	0	0	0	0	0	1	0	"
rrap_ns6_nh5_m2_g0.5_seed2,3,6,BB,8.19696,15625,245174,0,0,0.971274,"0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	"
rrap_ns6_nh5_m2_g0.5_seed3,3,6,BB,18.8316,15625,574142,0,0,0.980236,"1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	"
rrap_ns6_nh5_m2_g0.5_seed4,3,6,BB,125.856,15625,3793373,0,0,0.988366,"2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	"
rrap_ns6_nh6_m2_g0.5_seed1,3,6,BB,273.263,46656,6529500,0,0,0.991174,"0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	1	0	0	0	"
rrap_ns6_nh6_m2_g0.5_seed2,3,6,BB,109.765,46656,2704354,0,0,0.988353,"0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	1	0	"
rrap_ns6_nh6_m2_g0.5_seed3,3,6,BB,264.869,46656,6637687,0,0,0.988208,"0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	"
rrap_ns6_nh6_m2_g0.5_seed4,3,6,BB,26.0814,46656,630683,0,0,0.973049,"0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	"
rrap_ns7_nh2_m2_g0.5_seed1,4,7,BB,0.0267408,128,1027,0,0,0.885714,"0	2	0	1	0	2	0	1	0	1	0	2	0	1	"
rrap_ns7_nh2_m2_g0.5_seed2,4,7,BB,0.262331,128,7497,0,0,0.980019,"0	4	1	3	1	0	1	0	0	1	0	1	1	0	"
rrap_ns7_nh2_m2_g0.5_seed3,4,7,BB,0.300848,128,9103,0,0,0.975555,"1	3	3	0	1	0	1	0	1	0	0	1	0	1	"
rrap_ns7_nh2_m2_g0.5_seed4,4,7,BB,0.158214,128,4801,0,0,0.977054,"4	0	3	0	0	1	0	1	0	1	0	1	1	0	"
rrap_ns7_nh3_m2_g0.5_seed1,4,7,BB,2.82961,2187,72229,0,0,0.95981,"0	0	3	3	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	"
rrap_ns7_nh3_m2_g0.5_seed2,4,7,BB,5.17182,2187,141607,0,0,0.972986,"0	4	0	0	1	2	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	"
rrap_ns7_nh3_m2_g0.5_seed3,4,7,BB,4.6435,2187,116389,0,0,0.976419,"3	0	1	3	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	"
rrap_ns7_nh3_m2_g0.5_seed4,4,7,BB,0.685587,2187,19326,0,0,0.92479,"0	3	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	"
rrap_ns7_nh4_m2_g0.5_seed1,4,7,BB,1.54699,16384,50195,0,0,0.888419,"0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	"
rrap_ns7_nh4_m2_g0.5_seed2,4,7,BB,57.3033,16384,1392887,0,0,0.978495,"4	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	"
rrap_ns7_nh4_m2_g0.5_seed3,4,7,BB,66.2744,16384,1467017,0,0,0.987386,"0	4	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	"
rrap_ns7_nh4_m2_g0.5_seed4,4,7,BB,198.282,16384,4605571,0,0,0.9828,"0	0	0	3	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	"
rrap_ns7_nh5_m2_g0.5_seed1,4,7,BB,24.7711,78125,555532,0,0,0.95195,"0	0	0	0	3	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	"
rrap_ns7_nh5_m2_g0.5_seed2,4,7,BB,1603.37,78125,33427399,0,0,0.990398,"0	4	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	"
rrap_ns7_nh5_m2_g0.5_seed3,4,7,BB,124.17,78125,2648984,0,0,0.967546,"0	0	0	3	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	"
rrap_ns7_nh5_m2_g0.5_seed4,4,7,BB,26.0275,78125,609090,0,0,0.948132,"3	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	"
rrap_ns7_nh6_m2_g0.5_seed1,4,7,BB,7.10806,279936,376907,0,0,0.910128,"0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	"
rrap_ns7_nh6_m2_g0.5_seed2,4,7,BB,14.6145,279936,496621,0,0,0.934404,"0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	"
rrap_ns7_nh6_m2_g0.5_seed3,4,7,BB,3836.75,279936,59707444,0,0,0.987648,"0	0	0	4	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	"
rrap_ns7_nh6_m2_g0.5_seed4,4,7,BB,3297.77,279936,56954282,0,0,0.981641,"1	1	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	"
rrap_ns7_nh2_m2_g0.5_seed1,5,7,BB,0.0258856,128,1068,0,0,0.917369,"0	1	0	3	0	1	1	0	1	0	0	1	0	2	"
rrap_ns7_nh2_m2_g0.5_seed2,5,7,BB,0.321971,128,11681,0,0,0.974087,"0	1	4	0	0	1	1	0	0	1	0	1	3	0"
rrap_ns7_nh2_m2_g0.5_seed3,5,7,BB,0.302894,128,10048,0,0,0.988143,"1	0	4	0	0	1	1	0	1	0	1	0	4	0"
rrap_ns7_nh2_m2_g0.5_seed4,5,7,BB,0.157453,128,6214,0,0,0.974974,"1	0	4	0	0	1	0	1	0	1	1	0	3	0"
rrap_ns7_nh3_m2_g0.5_seed1,5,7,BB,3.0663,2187,87808,0,0,0.964108,"0	0	1	2	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	3	0"
rrap_ns7_nh3_m2_g0.5_seed2,5,7,BB,6.95596,2187,214833,0,0,0.959086,"0	1	0	0	0	3	0	0	1	1	0	0	0	0	1	1	0	0	0	1	2"
rrap_ns7_nh3_m2_g0.5_seed3,5,7,BB,5.5583,2187,153132,0,0,0.972122,"0	0	1	4	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	3	0"
rrap_ns7_nh3_m2_g0.5_seed4,5,7,BB,0.784022,2187,24222,0,0,0.927389,"0	1	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	1	3	0	0"
rrap_ns7_nh4_m2_g0.5_seed1,5,7,BB,1.51532,16384,52866,0,0,0.911099,"0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	3	0	0"
rrap_ns7_nh4_m2_g0.5_seed2,5,7,BB,84.9549,16384,2000307,0,0,0.981333,"1	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	4	0"
rrap_ns7_nh4_m2_g0.5_seed3,5,7,BB,107.293,16384,2464239,0,0,0.9813,"0	1	0	0	0	0	3	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0"
rrap_ns7_nh4_m2_g0.5_seed4,5,7,BB,314.537,16384,6915775,0,0,0.99017,"1	0	0	0	1	0	0	3	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	3	0"
rrap_ns7_nh5_m2_g0.5_seed1,5,7,BB,32.6697,78125,716966,0,0,0.951027,"0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0"
rrap_ns7_nh5_m2_g0.5_seed2,5,7,BB,2241.78,78125,45722712,0,0,0.986413,"0	1	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0"
rrap_ns7_nh5_m2_g0.5_seed3,5,7,BB,152.051,78125,3228009,0,0,0.96145,"0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0"
rrap_ns7_nh5_m2_g0.5_seed4,5,7,BB,34.6113,78125,840938,0,0,0.946045,"1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1"
rrap_ns7_nh6_m2_g0.5_seed1,5,7,BB,6.48371,279936,384160,0,0,0.910996,"0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0"
rrap_ns7_nh6_m2_g0.5_seed2,5,7,BB,17.8039,279936,553558,0,0,0.940714,"0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0"
rrap_ns7_nh6_m2_g0.5_seed3,5,7,BB,3600,279936,54319411,81673,1,0.987569,"0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0"
rrap_ns7_nh6_m2_g0.5_seed4,5,7,BB,3600,279936,60803554,20966,1,0.981451,"0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0"
rrap_ns8_nh2_m2_g0.5_seed1,6,8,BB,2.44565,256,92484,0,0,0.963724,"4	0	1	0	2	0	0	2	0	1	1	0	0	2	2	0	"
rrap_ns8_nh2_m2_g0.5_seed2,6,8,BB,1.78309,256,55844,0,0,0.937458,"0	3	0	1	1	0	3	0	1	0	0	1	0	1	3	0	"
rrap_ns8_nh2_m2_g0.5_seed3,6,8,BB,0.230828,256,8413,0,0,0.865921,"3	0	0	1	1	1	1	0	0	1	0	1	0	2	0	1	"
rrap_ns8_nh2_m2_g0.5_seed4,6,8,BB,0.0693367,256,2587,0,0,0.846623,"0	2	1	0	2	0	0	2	1	0	0	1	0	2	1	0	"
rrap_ns8_nh3_m2_g0.5_seed1,6,8,BB,89.1746,6561,2673617,0,0,0.958619,"0	1	0	2	0	1	0	1	0	0	0	1	4	0	0	0	0	1	0	0	1	2	0	1	"
rrap_ns8_nh3_m2_g0.5_seed2,6,8,BB,60.865,6561,1952360,0,0,0.945005,"0	3	1	0	1	0	0	1	0	2	0	0	0	1	0	0	0	1	1	0	0	3	0	0	"
rrap_ns8_nh3_m2_g0.5_seed3,6,8,BB,92.8833,6561,2826742,0,0,0.956528,"2	0	2	0	0	1	0	0	1	0	0	3	0	0	1	0	1	0	1	0	0	0	3	0	"
rrap_ns8_nh3_m2_g0.5_seed4,6,8,BB,6.95824,6561,204826,0,0,0.883083,"0	0	2	1	0	0	0	0	1	0	2	0	0	1	0	1	0	0	1	0	0	0	3	0	"
rrap_ns8_nh4_m2_g0.5_seed1,6,8,BB,296.819,65536,7114074,0,0,0.928605,"0	1	2	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	3	0	"
rrap_ns8_nh4_m2_g0.5_seed2,6,8,BB,3600,65536,87898857,5732,1,0.965541,"0	0	0	1	3	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	1	0	0	0	1	0	0	4	0	0	0	"
rrap_ns8_nh4_m2_g0.5_seed3,6,8,BB,13.1266,65536,376135,0,0,0.888072,"0	0	2	0	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	"
